date;home_team;away_team;home_goals;away_goals;home_xG;away_xG;home_xpts;away_xpts;year;match_index
24.02.2018 15:00;Brighton;West Ham;4;1;3.2913;0.33527;2.9302;0.023;2017;2018-02-24_Brighton_vs_West Ham
07.04.2018 14:00;Brighton;Swansea;1;1;1.53244;0.655729;1.3757;0.7984;2017;2018-04-07_Brighton_vs_Swansea
05.12.2018 19:45;Everton;Leicester;1;1;2.10943;1.21575;1.8095;1.1711999999999998;2018;2018-12-05_Everton_vs_Leicester
11.08.2018 17:00;Bournemouth;Brighton;2;0;2.60022;0.45504;2.2423;0.5538000000000001;2018;2018-08-11_Bournemouth_vs_Brighton
10.11.2018 15:00;Southampton;West Ham;1;1;1.20211;1.44113;1.4607;1.5976;2018;2018-11-10_Southampton_vs_West Ham
09.02.2019 15:00;Southampton;Arsenal;1;2;1.70666;1.46751;2.0587;0.9656;2018;2019-02-09_Southampton_vs_Arsenal
01.12.2018 15:00;Crystal Palace;Watford;2;0;2.03785;1.19923;2.5617;1.1107;2018;2018-12-01_Crystal Palace_vs_Watford
12.01.2019 15:00;Crystal Palace;Southampton;1;2;1.1617;1.41659;1.0533;1.0811;2018;2019-01-12_Crystal Palace_vs_Southampton
30.03.2019 15:00;Crystal Palace;Bournemouth;2;0;2.84701;0.790333;2.5976;0.5747;2018;2019-03-30_Crystal Palace_vs_Bournemouth
04.12.2018 19:45;West Ham;Crystal Palace;3;1;1.57488;1.5329;1.011;1.5759;2018;2018-12-04_West Ham_vs_Crystal Palace
15.12.2018 15:00;Tottenham;Leicester;1;0;1.74625;0.895305;2.4027;1.8301;2018;2018-12-15_Tottenham_vs_Leicester
29.09.2018 14:00;Arsenal;Southampton;2;0;1.57061;0.679627;0.6981999999999999;0.7495;2018;2018-09-29_Arsenal_vs_Southampton
08.12.2018 15:00;Arsenal;Southampton;1;0;2.02156;0.501128;2.6395;0.5469;2018;2018-12-08_Arsenal_vs_Southampton
20.10.2018 14:00;Newcastle;Tottenham;0;1;1.71169;1.11777;2.1504;1.8754;2018;2018-10-20_Newcastle_vs_Tottenham
29.09.2018 14:00;Man City;Southampton;2;0;2.90697;0.679627;2.8899000000000004;0.7495;2018;2018-09-29_Man City_vs_Southampton
03.04.2019 19:45;Man City;Crystal Palace;2;0;3.53913;0.564317;2.9629;0.2281;2018;2019-04-03_Man City_vs_Crystal Palace
19.01.2019 15:00;Man United;Everton;2;1;2.64005;1.31169;2.6819;1.5991;2018;2019-01-19_Man United_vs_Everton
08.12.2018 15:00;Burnley;Southampton;1;0;1.81251;0.501128;2.0648;0.5469;2018;2018-12-08_Burnley_vs_Southampton
30.03.2019 15:00;Burnley;Bournemouth;2;0;0.572695;0.790333;1.4914999999999998;0.5747;2018;2019-03-30_Burnley_vs_Bournemouth
13.04.2019 15:00;Burnley;Everton;2;0;2.84358;1.29107;2.6792;1.0792000000000002;2018;2019-04-13_Burnley_vs_Everton
29.09.2018 14:00;Huddersfield;Leicester;0;2;0.339245;1.34341;0.1381;2.3033;2018;2018-09-29_Huddersfield_vs_Leicester
12.05.2019 14:00;Brighton;West Ham;1;4;0.595313;3.20094;0.3339;2.1507;2018;2019-05-12_Brighton_vs_West Ham
25.08.2018 17:00;Fulham;Burnley;4;2;1.92459;1.56882;1.6022;1.1357;2018;2018-08-25_Fulham_vs_Burnley
